Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
3,-303412427#3,,,,,3,,
6,303412427#3,,,,,,1,
12,-303412427#4,,,,,2,1,
18,-303412427#4,,,,2,4,,
27,-303412427#5,,,,1,4,1,
44,-303412427#6,,,1,,3,,
49,303412427#7,,,,,1,,
54,-303412427#7,,,,,1,1,
60,303412427#8,1,,,,4,,
80,-303412427#8,,,,,3,,
94,-303412427#9,,,,2,1,1,
101,-303412427#10,,,,1,2,,
114,303412427#10,,,,,1,,
131,-303412427#10,,,1,,,,
133,303412427#10,1,,,,,,
139,-303412427#11,,,,,1,,
150,303412427#12,,,,,3,,
150,-303412427#12,1,,,,1,1,
154,-303412427#13,,,,,2,1,
165,-303412427#14,,,,,2,1,
177,303412427#14,,,,,4,,
178,-303412427#14,,,,,2,,
182,-303412427#15,,,,,1,,
192,-303412427#16,1,,,,5,1,
194,-303412427#16,,,,,2,,
117,-303412427#17,,,,,1,,
223,-303412427#18,1,,,,1,,
224,924607337#0,,,,,1,,
224,-924607337#0,,,,1,5,2,
252,-924607337#0,,,,,2,,
252,924607337#0,,,,,2,,
274,-924607337#0,,,,,3,,
274,924607337#0,,,,,4,,
291,-924607337#0,,1,,,2,,
298,-924607337#1,,,1,1,1,,
308,-924607337#2,,,,,2,,
314,-924607337#3,1,,,1,4,,
327,-924607337#4,,,,,2,,
337,924607337#4,,,,,8,,
378,154644778#1,12,,,5,3,1,
390,615456195,2,,,1,1,,
424,154644778#1,10,2,1,7,5,,
464,615456195,,,,,3,,
464,154644778#1,,3,,2,,,
466,615456195,9,2,,4,11,1,
524,154644778#1,7,3,,1,5,,
532,154644778#0,11,,,1,4,,
549,615456193#0,4,1,,3,1,,
555,-615456193#0,5,1,,,4,,
570,-615456193#0,2,1,,1,1,,
594,615456193#0,,,,1,1,,
596,-615456193#0,,1,,4,5,,
600,615456193#1,,,2,,,,
620,-615456193#1,20,4,,1,18,1,
660,615456193#1,,,,,5,,
720,615478344#0,1,1,1,,4,,
720,-615478344#0,2,,,2,4,,
749,368461882#0,2,2,,,10,,
840,368461882#1,1,1,,,4,,
855,-923261416,13,3,,4,6,,
888,-694268909#0,8,,1,,18,1,
933,694268909#0,,,,1,3,,
956,-694268909#1,9,2,,3,8,,
972,82694445#1,1,,,1,2,2,
972,-82694445#1,1,,1,2,4,,
999,82694445#2,2,,,1,4,1,
999,-82694445#2,,,,,3,,
1020,1176045777,,,,,1,,
1020,-1176045777,,1,,1,1,2,
1043,-82694458#0,22,1,,4,28,,
1080,82694458#0,6,,1,1,13,2,
1180,745183364#1,7,1,,,4,,
1180,575729552#1,,1,,,3,1,
1205,745183362,2,1,,1,,,
1210,575729108#3,,,,,2,,
1226,575729108#2,,,,1,2,,
1233,-575729108#1,,,,,2,,
1236,575729555,6,1,,1,4,,
2040,4332734#7,5,,,1,3,,
1265,4332734#6,3,1,,1,6,,
1276,4332734#4,4,1,,,2,,
1280,4332734#2,4,,,3,9,,
1290,-4332734#1,2,1,,,4,,
1298,4332734#1,14,,,,5,,
1320,4478182,6,,,3,4,,
1342,48630242#3,7,3,2,1,6,,
1352,48630242#2,6,,,,6,,
1373,48630242#1,12,,,,28,,
1373,-48630242#1,4,1,,,5,,
1410,820063578#1,,3,,,2,,
1420,4243614#1,3,3,,1,12,,
1500,706706674#0,6,3,,,7,,
1570,820063579#0,3,1,,1,5,,
1590,1193896447,1,,,,1,,
1604,107396681#0,1,,1,1,4,,
1620,107396681#4,1,,,,1,,
1630,107396681#7,1,,,,4,,
1648,1148489399#1,1,,,,,,
1660,1018627464,3,,,3,4,,
1680,1076442002,6,1,,1,10,1,
1680,-1076442002,1,1,,2,7,,
1720,4588647#5,5,,,,5,,
1720,-4588647#5,,1,1,1,7,,
1760,4588647#4,4,2,1,,5,,
1770,4588647#0,3,,,4,5,,
1770,-4588647#0,,1,,,,,
1800,136822582,2,2,1,3,15,,
1840,1174874705,1,1,,,,,
1860,1216781216,3,1,,,,,
1873,4637649,2,,,,4,,
1901,161754854#0,1,4,,,3,,
1920,161754854#1,7,4,,,35,,
2030,161754854#2,1,,1,2,10,,
2040,136822571#1,2,,,,4,,
2065,136822571#3,14,4,,,3,,
2080,136822574,8,3,,,2,,
2088,121188635,4,,1,,3,,
2100,126342421,4,2,,1,5,,
2126,126342419,,,,,1,,
2126,121188638,2,1,,1,5,,
2144,940612553,3,,,1,6,,
2154,1074607189#0,8,,,2,12,1,
2244,119883577#1,4,2,,,5,,
2310,119883577#5,,,,,4,,
2320,119883577#6,2,,,,4,2,1
2340,310627474#0,5,,,6,15,,
2356,119883577#6,5,,,,7,,
2400,-5019469#0,7,4,,,12,,
2420,5019469#0,9,1,,,15,,
2441,704746731#3,9,4,,2,10,,
2450,704746731#0,1,,1,,4,,
2458,5019952#4,8,2,,1,10,1,
2540,5019952#5,4,1,,1,5,,
2543,1072039865#1,11,1,1,3,12,,
2553,704746733#0,4,1,,,8,,
2593,-187486758#5,2,1,,,4,,
2620,187486758#0,1,,,,3,,
2626,-16174062#0,,,,1,1,1,
2673,-16174062#2,,,,1,1,1,
2678,-16174062#3,1,,,1,3,,
2700,16174062#4,,,,2,1,,
