Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
5,29377703#4,,,,,5,2,
10,-303412427#0,,,,,5,,
60,303412427#1,,1,,,1,,
90,303412427#0,,1,,,2,2,
92,-303412427#2,,,,,1,1,
105,303412427#2,,,,,4,,
120,-303412427#3,,,,1,,,
138,303412427#3,1,,2,1,12,,
146,-303412427#3,,,,,8,,
280,-303412427#7,2,,,1,3,,
310,-303412427#8,3,,,,5,,
325,-303412427#9,1,,,,1,,
340,-303412427#10,1,,1,1,10,1,
344,303412427#10,,,,,2,1,
390,-303412427#12,,,,,1,1,
400,-303412427#13,,,,,1,,
407,-303412427#16,3,,2,2,3,,
407,303412427#16,,,,,4,,
475,-303412427#17,,,,,2,,
480,-303412427#18,1,,1,,2,,
500,-924607338,,,,,1,,
512,-924607337#0,2,,,2,12,,
560,924607337#1,,,,,5,,
560,-924607337#1,1,,,1,1,,
585,-924607337#2,,,2,,7,,
602,924607337#3,1,1,,,3,,
660,-924607337#3,1,,,,4,,
678,154644778#1,24,7,3,12,23,3,
742,615456195,8,5,,5,9,,
900,154644778#0,7,4,1,5,22,2,
930,-615478345,5,3,1,3,14,1,
950,615478344#0,12,4,,6,29,,
1140,-923261416,12,3,1,6,8,,
1150,694268909#0,8,3,,4,6,1,
1200,-694268909#1,9,3,1,2,4,,
1200,694268909#1,7,3,1,,,,
1282,-82694445#1,3,,,,3,,
1311,-1176045777,1,,,1,1,,
1320,1176045777,2,,,1,2,,
1374,82694458#0,7,,,,7,1,
1376,-82694458#0,26,8,1,6,37,,
1650,575729552#1,4,,,,,,
1650,745183364#1,6,,,1,4,,
1660,745183364#0,,,,,,,
1680,4086429,9,2,,,,,
1687,-575729108#3,11,1,,1,15,,
1740,-4332734#7,3,,,1,11,,
1760,4332734#7,5,3,,3,9,1,
1790,-4332734#4,2,,,1,2,,
1800,-48630242#2,5,1,,1,,,
1860,48630242#2,2,1,,,,,
1920,4243614#1,7,3,,3,24,,
1980,706706674#0,5,3,,,6,,
1990,805198999,11,4,,1,5,,
2100,820063579#0,,,,,3,,
2160,107396681#4,5,2,,,11,,
2220,1148489399#2,8,1,,,13,,
2220,1018627464,11,1,,3,9,,
2230,4588647#5,6,1,,9,3,,
2250,-4588647#5,3,,,2,17,,
2277,-4588647#4,4,1,,,,,
2277,4588647#4,18,2,1,6,22,,
2340,4588647#0,25,2,,13,15,,
2340,-4588647#0,2,,,5,8,,
2460,1174874706,4,,,5,13,,
2512,161754854#0,4,1,,3,16,,
2557,161754854#1,6,4,,4,9,,
2640,136822571#3,3,3,,2,11,,
2689,332624272,5,,,,8,,
2690,126342421,8,,,4,9,,
2745,119883577#1,3,,,1,8,,
2854,119883577#6,8,,,1,4,,
2880,20816626#1,7,1,,,3,,
2940,5019952#1,4,,,,6,,
2978,825090426,5,,,1,14,,
3035,704746733#0,6,,,,3,,
3100,-187486758#5,4,,,1,,,
3130,-187486758#0,1,,,2,1,1,
3145,-16174062#0,1,,,5,3,1,
3201,-16174062#2,,1,,2,3,,
3201,16174062#2,,,,,,1,
