Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
5,29377703#4,1,,,,9,3,
6,303412427#1,2,,,,13,1,
12,303412427#3,1,,,,,,
27,303412427#7,,1,,,,,
100,303412427#8,,,,,4,,
101,924607337#0,4,,,,3,,
114,924607337#4,2,,,,5,,
131,615456195,5,2,,,6,,
133,615456193#0,15,,,,6,,1
139,615456193#2,11,,,,15,2,
150,694268909#1,6,,,,8,,
150,1176045777,10,1,,,12,1,
154,-575729555,13,,,,16,,
165,-4332734#2,9,,,,14,,
177,-4332734#1,5,,,,20,,1
178,820063578#1,11,,,,,,
182,4243614#1,20,,,,26,,
192,820063579#0,7,1,,,10,,
194,1018627463,16,,,,24,,
117,1174874706,13,,,,10,,
223,161754856,8,,,,13,,
224,1158575268,26,2,,,15,,
224,161754854#1,22,1,,,10,,2
252,332624272,48,3,,,55,,
252,5019952#4,25,2,,,19,,
274,-187486758#1,4,,,,10,,
