Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
3,29377703#1,,,,1,6,3,
6,303412427#1,1,,,1,9,4,
12,303412427#2,,,,,8,,
18,303412427#3,,,,,1,,
27,303412427#5,1,,,,2,,1
44,303412427#6,,,,,3,,
49,303412427#7,1,,,,2,,
54,303412427#8,,,,3,3,,
60,303412427#9,1,,,2,3,,
80,303412427#10,,,,,6,1,
94,303412427#12,,,1,1,6,2,
101,303412427#13,2,,,,5,,
114,303412427#14,,1,,2,5,2,
131,615456195,3,,,1,4,,
133,615456193#0,10,,,5,,1,
139,615456193#1,26,1,,6,24,3,
150,615456193#2,5,,2,1,9,,
150,615478345,63,2,1,6,63,,
154,615478344#0,21,,1,2,3,,
165,923261416,4,,,,4,,
177,694268909#1,32,1,4,7,9,1,
178,1176045778,16,,,2,27,,
182,82694445#1,10,,,2,18,1,
192,575729552#1,3,,,,1,,
194,4086429,31,5,,3,9,,
117,4332731,8,1,,1,5,1,
223,-575729108#3,18,2,1,2,23,,
224,-575729108#2,4,3,1,,6,,
224,-575729108#1,5,,,3,5,,
252,-575729555,,,1,3,6,,
252,-940627086,2,,1,1,14,,
274,-4478182,9,,,3,5,1,
274,-48630242#3,12,,,1,20,1,
291,-48630242#2,10,,,1,21,,
298,-48630242#1,16,5,2,2,35,1,
308,4243614#1,14,2,1,1,17,,
314,685156794#0,7,,,,7,1,
327,820063579#0,2,,,2,,,
337,820063579#1,,,,,2,,
378,107396681#0,3,,,7,3,,
390,107396681#4,7,1,,,4,,
424,107396681#5,14,1,,10,16,2,
464,107396681#6,11,,,,14,1,
464,1174874706,64,8,4,14,69,,
466,136822582,15,3,,1,1,,
524,1174874705,14,2,,,11,,
532,161754856,10,8,,1,12,,
549,4637649,11,3,2,1,22,1,1
555,332624272,18,,,5,28,,
570,1074607189#0,15,,,,18,,
594,119883577#1,9,,,2,7,,
596,119883577#4,12,,,2,17,,
600,119883577#5,12,1,,1,30,1,
620,119883577#6,9,1,,5,5,,
660,119883577#7,24,1,,2,10,,
720,119883577#8,22,3,,5,32,1,
720,5019952#1,20,11,,7,30,,
749,5019952#2,34,7,1,2,18,,
840,5019952#4,9,,,2,9,,
855,-187486758#5,1,,,3,4,,
888,-187486758#1,,,,,2,,
933,-187486758#0,1,,,,2,,
956,16174062#0,2,,,10,5,1,
972,16174062#1,,,,1,2,,
972,16174062#2,,,,1,,,
