Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,2 Lane Left,3rd Lane,Sudden Acceleration,8:58:18,Full (81 - 100%),,,,
Vehicle,Stop,3rd Lane,,8:58:38,Full (81 - 100%),,Talking to vendor,,
Vehicle,Go,3rd Lane,,8:58:42,Full (81 - 100%),,,,
Vehicle,Stop,3rd Lane,,8:59:04,Full (81 - 100%),,Talking to vendor,,
Stoplight,Stop,3rd Lane,,8:59:19,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:00:12,Full (81 - 100%),,,,
Passenger,Load,1st Lane,,9:00:19,Full (81 - 100%),,,,
Vehicle,1 Lane Left,2nd Lane,,9:00:32,Full (81 - 100%),,,,
Vehicle,1 Lane Right,1st Lane,,9:00:41,Full (81 - 100%),,,,
Passenger,Load,1st Lane,,9:00:44,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:00:50,Full (81 - 100%),,,,
Passenger,Unload,1st Lane,,9:01:21,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:01:30,Full (81 - 100%),,,,
Vehicle,Unload,1st Lane,,9:01:52,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:01:59,Full (81 - 100%),,,,
Vehicle,1 Lane Left,2nd Lane,,9:02:12,Full (81 - 100%),,,Jeepney vehicles in inner lane loading/unloading,
Passenger,Unload,2nd Lane,,9:02:21,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:02:27,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:02:48,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:03:03,Full (81 - 100%),,,,
Vehicle,Load,1st Lane,,9:03:18,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:03:22,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:03:29,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:03:53,Full (81 - 100%),,,,
Passenger,Wait,1st Lane,,9:04:12,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:04:23,Full (81 - 100%),,,,
Vehicle,1 Lane Left,2nd Lane,,9:04:40,Full (81 - 100%),,,Tricyles and trucks parked or idle in inner lane,
Vehicle,1 Lane Left,1st Lane,,9:05:21,Full (81 - 100%),,,,
Vehicle,1 Lane Right,1st Lane,,9:05:25,Full (81 - 100%),,,Construction in 2nd lane,
Vehicle,1 Lane Left,1st Lane,,9:05:39,Full (81 - 100%),,,Merging 1st lane to 2nd lane,
Vehicle,Stop,1st Lane,,9:06:27,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:06:33,Full (81 - 100%),,,Traffic,
Passenger,Unload,1st Lane,,9:06:48,Moderate (34 - 80 %),,,,
Stoplight,Stop,1st Lane,,9:06:49,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:07:47,Moderate (34 - 80 %),,,,
Vehicle,2 Lane Left,3rd Lane,,9:07:55,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,4th Lane,,9:08:15,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,3rd Lane,,9:08:45,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:08:59,Moderate (34 - 80 %),,,2 lanes up overpass,
Vehicle,Go,1st Lane,Sudden Acceleration,9:09:02,Moderate (34 - 80 %),,,No traffic ahead,50km/h highest
Vehicle,Stop,1st Lane,,9:10:00,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,9:10:05,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:10:10,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:10:29,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:10:36,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:10:44,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:11:03,Full (81 - 100%),,,,
Passenger,Load,1st Lane,,9:11:14,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:11:22,Full (81 - 100%),,,,
Passenger,Load,1st Lane,,9:11:37,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:11:41,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:12:40,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:12:55,Full (81 - 100%),,Slow due to pedestrian jaywalking,,
Vehicle,Go,1st Lane,,9:12:56,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:13:00,Full (81 - 100%),,,,
Vehicle,Go,1st Lane,,9:13:15,Full (81 - 100%),,,,
Vehicle,Stop,1st Lane,,9:13:22,Full (81 - 100%),,,Incoming car overtaking from left side (seaoil),
Vehicle,Go,1st Lane,,9:13:29,Full (81 - 100%),,,,
Passenger,Unload,1st Lane,,9:13:41,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:13:47,Moderate (34 - 80 %),,,,
Stoplight,Stop,1st Lane,,9:14:06,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:14:42,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:15:30,Moderate (34 - 80 %),,,,
Stoplight,Stop,2nd Lane,,9:15:35,Moderate (34 - 80 %),,,1st lane must turn right,
Vehicle,Go,2nd Lane,,9:16:24,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,9:16:43,Moderate (34 - 80 %),,,Overtake E-bike in 1st lane,
Vehicle,Stop,1st Lane,,9:16:58,Moderate (34 - 80 %),,,Unloading uv express in front,
Vehicle,Go,1st Lane,,9:17:05,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:17:34,Low (0 - 33 %),,,,
Vehicle,Go,2nd Lane,Sudden Acceleration,9:17:48,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:18:12,Low (0 - 33 %),,,Car infront turning left,
Vehicle,Go,1st Lane,,9:18:22,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:19:27,Low (0 - 33 %),,,,End (IN QUIAPO)
Vehicle,Go,1st Lane,,9:21:59,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:22:11,Low (0 - 33 %),,,Tricycles + Motors Parked in 1st Lane,
Vehicle,1 Lane Right,1st Lane,,9:22:14,Low (0 - 33 %),,,Construction/Obstruction in 2nd lane,
Stoplight,Go,1st Lane,Sudden Acceleration,9:22:56,Low (0 - 33 %),,,,
Passenger,Unload,1st Lane,,9:23:10,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:23:17,Low (0 - 33 %),,,No traffic,
Passenger,Unload,1st Lane,,9:24:06,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:24:11,Low (0 - 33 %),,,Right Lane must turn right,
Stoplight,Stop,2nd Lane,,9:24:20,Low (0 - 33 %),,,,
Vehicle,Go,2nd Lane,,9:25:01,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,3rd Lane,,9:25:06,Low (0 - 33 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:25:14,Low (0 - 33 %),,,Merging Lane 3 and 2,
Vehicle,Stop,1st Lane,,9:25:43,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:25:50,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,9:45:48,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:26:39,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,9:27:00,Low (0 - 33 %),33km/h,,Jeepney in Lane 1 looking for passengers (usually stopping),
Vehicle,1 Lane Right,1st Lane,,9:27:15,Low (0 - 33 %),,,Merging Lane 2 and 3,
Vehicle,1 Lane Left,2nd Lane,,9:27:32,Low (0 - 33 %),,,Modern Jeepney Unloading in Lane 1,
Vehicle,1 Lane Right,1st Lane,,9:27:37,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:27:43,Low (0 - 33 %),,,Jeepney in Lane 1 Unloading,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,9:28:18,Low (0 - 33 %),47 max,,,
Vehicle,1 Lane Left,2nd Lane,,9:28:36,Low (0 - 33 %),,,Ebike in outer lane 1,
Vehicle,1 Lane Right,1st Lane,,9:28:44,Low (0 - 33 %),52,,,On a downhill
Vehicle,1 Lane Left,2nd Lane,,9:28:56,Low (0 - 33 %),,,,
Vehicle,1 Lane Right,2nd Lane,,9:28:59,Low (0 - 33 %),,,,From 2 lanes to 3 lanes
Vehicle,2 Lane Right,1st Lane,,9:30:00,Low (0 - 33 %), ,,"Construction in 1st lane, going back to 1st lane",
Vehicle,1 Lane Left,3rd Lane,,9:30:22,Low (0 - 33 %),,,Construction in 4th lane,
Vehicle,1 Lane Right,2nd Lane,,9:30:33,Low (0 - 33 %),,,Turning right (has barriers on the left),
Passenger,Load,2nd Lane,,9:30:40,Low (0 - 33 %),,,,
Vehicle,Go,2nd Lane,Sudden Acceleration,9:30:58,Low (0 - 33 %),37,,,
Vehicle,1 Lane Right,1st Lane,,9:31:00,Low (0 - 33 %),,,Turning right,
Passenger,Load,1st Lane,,9:31:22,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:31:30,Low (0 - 33 %),,,,
