Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Go,2nd Lane,,6:36:05,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,6:36:15,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,6:37:06,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,6:37:08,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,6:37:10,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,6:37:16,Low (0 - 33 %),,parked vehicles,
Vehicle,1 Lane Left,3rd Lane,,6:37:51,Low (0 - 33 %),,no traffic,
Vehicle,2 Lane Right,1st Lane,,6:38:10,Low (0 - 33 %),,merging right lane,
Vehicle,1 Lane Left,2nd Lane,,6:38:13,Low (0 - 33 %),,overtake slow trad jeep,
Vehicle,1 Lane Right,1st Lane,,6:38:20,Low (0 - 33 %),,traffic,
Vehicle,Stop,1st Lane,Sudden Break,6:38:30,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,6:38:40,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,6:38:50,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,6:38:51,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,6:38:54,Low (0 - 33 %),,,
Vehicle,2 Lane Left,3rd Lane,,6:39:35,Low (0 - 33 %),,,
Vehicle,1 Lane Left,4th Lane,,6:40:00,Low (0 - 33 %),,,
Vehicle,2 Lane Right,2nd Lane,,6:40:20,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,6:41:48,Low (0 - 33 %),,,
Passenger,Wait,2nd Lane,,6:41:49,Low (0 - 33 %),,bought a rag,
Vehicle,Go,2nd Lane,,6:41:58,Low (0 - 33 %),,,
Stoplight,Stop,2nd Lane,,6:42:43,Low (0 - 33 %),,,
Stoplight,Go,2nd Lane,,6:42:52,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,6:42:58,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,6:43:00,Low (0 - 33 %),,,
Stoplight,Stop,2nd Lane,,6:43:50,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,6:44:05,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,6:44:08,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,6:44:10,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,6:44:20,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,6:44:21,Low (0 - 33 %),,,
Stoplight,Go,1st Lane,,6:44:34,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,6:44:38,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,6:45:10,Low (0 - 33 %),,unnocupied lane,
Vehicle,Stop,1st Lane,,6:46:01,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,6:46:02,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,6:46:03,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,6:46:20,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,6:47:20,Low (0 - 33 %),,,
