Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,2nd Lane,,17:40:20,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:41:35,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,17:42:11,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:44:35,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,17:45:44,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:46:10,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,17:46:45,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,17:46:50,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,17:47:23,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:48:26,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,17:50:48,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,17:51:32,Low (0 - 33 %),,,end of line
Vehicle,Wait,1st Lane,,17:52:18,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:52:52,Low (0 - 33 %),,,
Vehicle,Wait,1st Lane,,17:54:01,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,17:54:03,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:54:13,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,17:56:33,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:56:48,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,17:57:06,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:58:22,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,17:58:46,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,17:59:12,Low (0 - 33 %),,,
Passenger,1 Lane Right,2nd Lane,,17:59:55,Low (0 - 33 %),,,
Passenger,Stop,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Unload,2nd Lane,,18:00:07,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,18:00:12,Low (0 - 33 %),,,
Vehicle,Wait,2nd Lane,,18:00:30,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,18:00:53,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,18:01:12,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,18:02:41,Moderate (34 - 80 %),,,
