Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Left,1st Lane,,9:58:42,Moderate (34 - 80 %),,,Pedestrians in lane 1,
Vehicle,1 Lane Right,1st Lane,,9:58:46,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:59:12,Moderate (34 - 80 %),,, ,
Passenger,Unload,2nd Lane,,9:59:48,Moderate (34 - 80 %),,,Car parked/idle in lane 1,
Vehicle,Go,2nd Lane,,9:59:57,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,10:00:09,Moderate (34 - 80 %),,,Less cars in lane 1,
Stoplight,Stop,1st Lane,,10:00:20,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:02:10,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,10:02:35,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:02:40,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:03:31,Moderate (34 - 80 %),,,Motorcycles in lane 1,
Vehicle,1 Lane Right,1st Lane,,10:03:35,Moderate (34 - 80 %),,,,
Stoplight,Stop,1st Lane,,10:04:00,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:04:36,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:05:18,Moderate (34 - 80 %),,,Car idle in lane 1,
Vehicle,1 Lane Right,1st Lane,,10:05:21,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,10:05:55,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:06:07,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,10:07:14,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:07:20,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,10:08:23,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:08:31,Low (0 - 33 %),,,,
Passenger,Unload,1st Lane,,10:08:59,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:09:04,Low (0 - 33 %),,,,
Vehicle,Stop,1st Lane,,10:11:15,Low (0 - 33 %),,,Traffic,
Vehicle,Stop,1st Lane,,10:13:33,Low (0 - 33 %),,,end of jeep,
Vehicle,Go,1st Lane,,10:25:39,Low (0 - 33 %),,slow due to looking for passengers,Start of jeep from pt a to b,
Passenger,Load,1st Lane,,10:27:14,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:27:22,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,10:27:52,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:28:01,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,10:28:48,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:28:56,Moderate (34 - 80 %),,,,
Vehicle,Go,2nd Lane,,10:42:34,Low (0 - 33 %),,,,Start again from cut
Vehicle,1 Lane Right,1st Lane,,10:42:41,Low (0 - 33 %),,,,
Passenger,Load,1st Lane,,10:42:43,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:43:00,Low (0 - 33 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:43:12,Low (0 - 33 %),,,,
Stoplight,Stop,2nd Lane,,10:43:26,Low (0 - 33 %),,,,
Vehicle,Go,3rd Lane,,10:45:32,Low (0 - 33 %),,,Turning left,
Passenger,Unload,1st Lane,,10:45:50,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,10:45:54,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:46:21,Moderate (34 - 80 %),,,Idle Truck in lane 1 ,
Vehicle,1 Lane Right,1st Lane,,10:46:35,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:46:42,Moderate (34 - 80 %),,,Slow Tricycle and idle car in lane 1,
Vehicle,1 Lane Right,1st Lane,,10:47:47,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,10:48:34,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:49:22,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,10:50:24,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:50:45,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,10:52:04,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:52:12,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,10:52:54,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:52:55,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,10:53:34,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:53:36,Moderate (34 - 80 %),,,Traffic,
Vehicle,Stop,1st Lane,,10:53:47,Moderate (34 - 80 %),,,Jeepney in front loading,
Vehicle,Go,1st Lane,,10:54:01,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,10:54:04,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,10:04:16,Moderate (34 - 80 %),,,CUT ,
Passenger,Unload,2nd Lane,,10:57:58,Moderate (34 - 80 %),,,Loading jeepney in lane 1,
Vehicle,Go,2nd Lane,,10:58:05,Moderate (34 - 80 %),,,,
Vehicle,Stop,2nd Lane,,10:58:41,Moderate (34 - 80 %),,,Jeepney loading in lane 2,
Vehicle,1 Lane Right,1st Lane,,10:58:48,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,10:59:31,Moderate (34 - 80 %),,,,
Stoplight,Stop,2nd Lane,,10:59:55,Moderate (34 - 80 %),,,,
Vehicle,Go,2nd Lane,,11:01:20,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,11:01:50,Moderate (34 - 80 %),,,From 2 lanes to 4 lanes,
Passenger,Load,2nd Lane,,11:02:00,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,11:02:22,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,11:02:47,Moderate (34 - 80 %),,,,
