Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Passenger,Unload,3rd Lane,,17:41,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,3rd Lane,,17:42,Moderate (34 - 80 %),,,
Passenger,Wait,3rd Lane,,17:43,Moderate (34 - 80 %),,,
Vehicle,Go,3rd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,4th Lane,,17:43:38,Moderate (34 - 80 %),,,
Vehicle,2 Lane Left,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,,Moderate (34 - 80 %),,,car in front changed lane
Passenger,Unload,2nd Lane,,17:43:59,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,17:44:20,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,,Moderate (34 - 80 %),,,traffic jam
Vehicle,Go,2nd Lane,,17:47,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,17:48,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,1st Lane,,,Moderate (34 - 80 %),,,traffic jam
Vehicle,Go,1st Lane,,17:53,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,17:54,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,17:54:30,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:55,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,17:55:55,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,17:56:10,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,,Moderate (34 - 80 %),,,end of jeepney line (quiapo)
Passenger,Unload,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,Wait,2nd Lane,,17:59,Low (0 - 33 %),,,
Passenger,Load,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,18:01,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Load,2nd Lane,,18:02,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,,Full (81 - 100%),,,car cuts in front
Vehicle,Go,2nd Lane,,,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,18:04,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,18:06:50,Full (81 - 100%),,,traffic jam
Vehicle,Go,2nd Lane,,,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,18:10,Full (81 - 100%),,,traffic jam
Vehicle,Go,2nd Lane,,18:11,Full (81 - 100%),,,
Stoplight,Stop,2nd Lane,,18:12,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:12:50,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,18:12,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,18:13,Full (81 - 100%),,,
Vehicle,1 Lane Left,1st Lane,,18:13,Full (81 - 100%),,,
Vehicle,1 Lane Right,2nd Lane,,,Full (81 - 100%),,,
Vehicle,1 Lane Left,1st Lane,,,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,18:14,Full (81 - 100%),,,
Vehicle,1 Lane Right,3rd Lane,,18:14:50,Full (81 - 100%),,,
Vehicle,1 Lane Right,4th Lane,,,Full (81 - 100%),,,
Vehicle,Stop,4th Lane,,,Full (81 - 100%),,,
Passenger,Unload,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,4th Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,4th Lane,,,Moderate (34 - 80 %),,,
