Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,1st Lane,,12:39:30,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:39:33,Full (81 - 100%),5km,Traffic,
Passenger,Load,1st Lane,,12:40:44,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:40:55,Full (81 - 100%),,,
Passenger,Load,1st Lane,,12:40:59,Full (81 - 100%),,,
Vehicle,Go,1st Lane,Sudden Acceleration,12:41:05,Full (81 - 100%),30,,
Vehicle,1 Lane Left,2nd Lane,,12:41:57,Full (81 - 100%),,Vendors in lane 1,
Vehicle,1 Lane Right,1st Lane,,12:42:21,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,12:43:02,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,12:43:23,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,12:43:43,Full (81 - 100%),,Car in Lane 1,
Vehicle,Go,2nd Lane,,12:43:48,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,12:44:16,Full (81 - 100%),,3 Lanes merge into 2 lanes,
Vehicle,Go,1st Lane,,12:44:36,Full (81 - 100%),,,
Passenger,Load,1st Lane,,12:45:11,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:45:35,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,12:46:06,Full (81 - 100%),,,
Passenger,Load,1st Lane,,12:46:13,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:46:28,Full (81 - 100%),,,
Passenger,Load,1st Lane,,12:46:40,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:47:16,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,12:47:18,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,12:47:52,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,12:48:08,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,12:50:10,Full (81 - 100%),,CUT,
Vehicle,Go,1st Lane,,12:50:22,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,12:51:18,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,12:51:28,Moderate (34 - 80 %),,CUT,
Vehicle,Go,2nd Lane,,12:51:32,Moderate (34 - 80 %),,Jeepney in Lane 1 unloading,
Vehicle,1 Lane Right,1st Lane,,12:51:46,Moderate (34 - 80 %),,,
Stoplight,Stop,1st Lane,,12:52:18,Moderate (34 - 80 %),,,
Vehicle,Go,1st Lane,,12:53:06,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,12:54:42,Moderate (34 - 80 %),,Taxi in lane 1 loading,
Vehicle,1 Lane Right,1st Lane,,12:54:44,Moderate (34 - 80 %),,,
Passenger,Unload,1st Lane,,12:54:49,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,12:54:58,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,12:56:33,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,12:56:39,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,12:56:44,Low (0 - 33 %),,Car backing up,
Vehicle,Go,1st Lane,,12:57:04,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,12:57:52,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,12:58:00,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,12:59:08,Low (0 - 33 %),,End of line (or end of recording*),
