Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Vehicle,Stop,3rd Lane,,8:12:04,Full (81 - 100%),,,
Passenger,Wait,3rd Lane,,8:12:05,Full (81 - 100%),,,
Vehicle,Go,3rd Lane,,8:12:08,Full (81 - 100%),,,
Vehicle,1 Lane Right,2nd Lane,,8:12:12,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:12:26,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,8:12:27,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,8:12:33,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:12:35,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,8:12:36,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,8:12:37,Full (81 - 100%),,,
Stoplight,Stop,2nd Lane,,8:12:40,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:13:00,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,8:13:08,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,8:13:08,Full (81 - 100%),-3,,
Passenger,Load,2nd Lane,,8:13:16,Full (81 - 100%),2,,
Vehicle,Wait,2nd Lane,,8:13:18,Full (81 - 100%),,,
Stoplight,Go,2nd Lane,,8:14:39,Full (81 - 100%),,,
Passenger,Load,2nd Lane,,8:14:40,Full (81 - 100%),2,,
Passenger,Wait,2nd Lane,,8:14:43,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,8:14:51,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:15:20,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,8:15:21,Full (81 - 100%),,,
Vehicle,1 Lane Left,1st Lane,,8:15:25,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:15:45,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,8:15:46,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:16:14,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,8:16:15,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:16:28,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:16:37,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:16:49,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:16:55,Full (81 - 100%),,,
Stoplight,Stop,1st Lane,,8:17:07,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:17:15,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:17:23,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:17:35,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,8:17:36,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,8:17:40,Full (81 - 100%),-1,,
Vehicle,Go,1st Lane,,8:17:42,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:17:45,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:17:58,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,8:17:59,Full (81 - 100%),,,
Stoplight,Go,2nd Lane,,8:18:33,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,8:18:40,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:18:54,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:19:20,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:19:30,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:19:37,Full (81 - 100%),,,
Passenger,Wait,1st Lane,,8:19:38,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,8:19:40,Full (81 - 100%),-1,,
Vehicle,Go,1st Lane,,8:19:41,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:21:20,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,8:21:21,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:21:45,Full (81 - 100%),,,
Vehicle,Wait,1st Lane,,8:21:46,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,8:21:50,Full (81 - 100%),-1,,
Vehicle,Go,1st Lane,,8:21:51,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:22:04,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:22:08,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:22:20,Full (81 - 100%),,,
Vehicle,1 Lane Right,1st Lane,,8:22:35,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:23:17,Full (81 - 100%),,,
Vehicle,1 Lane Left,3rd Lane,,8:23:27,Full (81 - 100%),,,
Vehicle,Stop,3rd Lane,,8:23:34,Full (81 - 100%),,,
Vehicle,Go,3rd Lane,,8:23:35,Full (81 - 100%),,,
Vehicle,2 Lane Right,1st Lane,,8:24:05,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:24:55,Full (81 - 100%),,,
Vehicle,Wait,1st Lane,,8:24:56,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,8:24:59,Full (81 - 100%),-1,,
Vehicle,Go,1st Lane,,8:25:00,Full (81 - 100%),,,
Vehicle,Stop,1st Lane,,8:25:15,Full (81 - 100%),,,
Passenger,Load,1st Lane,,8:25:16,Full (81 - 100%),1,,
Vehicle,Go,1st Lane,,8:25:17,Full (81 - 100%),,,
Vehicle,1 Lane Left,2nd Lane,,8:25:30,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,8:25:34,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,8:25:35,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,8:25:36,Moderate (34 - 80 %),-2,,
Vehicle,Go,2nd Lane,,8:25:45,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,8:25:56,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,8:25:57,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,8:26:40,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,8:26:44,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,8:26:45,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,8:26:46,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,8:27:15,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,8:27:35,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,2nd Lane,,8:27:50,Moderate (34 - 80 %),,,
Vehicle,Stop,2nd Lane,,8:28:08,Moderate (34 - 80 %),,,
Passenger,Wait,2nd Lane,,8:28:09,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,8:28:10,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,1st Lane,,8:28:30,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,8:28:40,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,8:29:00,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:29:54,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:29:55,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:30:18,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:30:26,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:30:27,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,8:30:28,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:30:34,Low (0 - 33 %),,,
Passenger,Wait,1st Lane,,8:30:35,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,8:30:42,Low (0 - 33 %),-3,,
Vehicle,Go,1st Lane,,8:30:48,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,8:31:16,Low (0 - 33 %),,,
Passenger,Unload,1st Lane,,8:31:17,Low (0 - 33 %),-2,,
Vehicle,Go,1st Lane,,8:31:18,Low (0 - 33 %),,,
Vehicle,1 Lane Left,2nd Lane,,8:31:25,Low (0 - 33 %),,,
Vehicle,1 Lane Left,3rd Lane,,8:31:39,Low (0 - 33 %),,,
Vehicle,Stop,3rd Lane,,8:31:54,Low (0 - 33 %),,,
Passenger,Wait,3rd Lane,,8:31:55,Low (0 - 33 %),,,
Passenger,Unload,3rd Lane,,8:31:56,Low (0 - 33 %),,,
Vehicle,Go,3rd Lane,,8:32:01,Low (0 - 33 %),,,
Vehicle,1 Lane Right,2nd Lane,,8:32:25,Low (0 - 33 %),,,
