Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks
Passenger,Wait,1st Lane,,,Low (0 - 33 %),,,
Passenger,Load,1st Lane,,,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,14:31,Full (81 - 100%),,,
Passenger,Stop,1st Lane,,,Full (81 - 100%),,,
Passenger,Unload,1st Lane,,14:33,Full (81 - 100%),,,
Vehicle,Go,1st Lane,,14:33:07,Full (81 - 100%),,,
Vehicle,1 Lane Right,2nd Lane,,,Full (81 - 100%),,,
Passenger,Wait,2nd Lane,,14:34:18,Full (81 - 100%),,,
Vehicle,Go,2nd Lane,,14:34:19,Full (81 - 100%),,,
Vehicle,1 Lane Right,3rd Lane,,,Full (81 - 100%),,,
Vehicle,Stop,2nd Lane,,14:34:50,Full (81 - 100%),,,car jam
Vehicle,Go,2nd Lane,,14:35,Full (81 - 100%),,,
Passenger,Stop,2nd Lane,,,Full (81 - 100%),,,
Passenger,Unload,2nd Lane,,14:35:50,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,14:36:12,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,1st Lane,,,Moderate (34 - 80 %),,,
Passenger,1 Lane Right,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,14:37:35,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,3rd Lane,,14:38:50,Moderate (34 - 80 %),,,
Vehicle,1 Lane Left,3rd Lane,,,Moderate (34 - 80 %),,,avoid car that is stopped in front
Vehicle,1 Lane Right,4th Lane,,,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,14:41:41,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,14:41:49,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,14:42:20,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,14:42:29,Moderate (34 - 80 %),,,
Vehicle,1 Lane Right,3rd Lane,,14:43:30,Moderate (34 - 80 %),,,
Stoplight,Stop,2nd Lane,,14:46:12,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,14:47:35,Moderate (34 - 80 %),,,
Vehicle,Go,2nd Lane,,14:47:45,Moderate (34 - 80 %),,,
Passenger,Stop,2nd Lane,,,Moderate (34 - 80 %),,,
Passenger,Unload,2nd Lane,,14:48:21,Low (0 - 33 %),,,
Vehicle,Go,2nd Lane,,,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Stop,1st Lane,,14:49:01,Low (0 - 33 %),,,car jam
Vehicle,Go,1st Lane,,14:50:35,Low (0 - 33 %),,,
Vehicle,1 Lane Right,1st Lane,,14:50:55,Low (0 - 33 %),,,
Stoplight,Stop,1st Lane,,,Low (0 - 33 %),,,
Vehicle,Go,1st Lane,,14:53:01,Low (0 - 33 %),,,
Vehicle,1 Lane Left,1st Lane,,14:53:28,Low (0 - 33 %),,,avoid jeep stopping
Vehicle,1 Lane Right,2nd Lane,,,Low (0 - 33 %),,,
Passenger,Wait,2nd Lane,,,Low (0 - 33 %),,,
