Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,+,-,Remarks,
Vehicle,Go,1st Lane,,13:29:02,Low (0 - 33 %),,"slow down, counting money",,,,,,
Vehicle,Go,2nd Lane,,13:29:20,Low (0 - 33 %),,,taking both lanes,,,,,
Vehicle,Stop,2nd Lane,,13:29:39,Low (0 - 33 %),,,,,,,traffic,
Vehicle,Go,2nd Lane,,13:29:45,Low (0 - 33 %),,,,,,,,
Passenger,Stop,2nd Lane,,13:30:07,Low (0 - 33 %),,,,9,+1,,,
Vehicle,Go,2nd Lane,,13:30:16,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,2nd Lane,,13:30:25,Low (0 - 33 %),,,,,,,traffic,
Vehicle,Go,2nd Lane,,13:30:47,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:30:50,Low (0 - 33 %),,,turning left from intersection,,,,,
Passenger,Stop,1st Lane,,13:31:10,Low (0 - 33 %),,fake passengers,,,,,,
Vehicle,Go,1st Lane,,13:31:15,Low (0 - 33 %),,,,,,,,
Passenger,Stop,1st Lane,,13:31:45,Low (0 - 33 %),,,,8,-1,,STI,
Vehicle,Go,1st Lane,,13:31:48,Low (0 - 33 %),35km/h,,,,,,,
Vehicle,Stop,2nd Lane,Sudden Break,13:33:27,Low (0 - 33 %),,,"car parked in front, blocking traffic",,,,traffic,
Vehicle,Go,2nd Lane,,13:33:31,Low (0 - 33 %),9km/h,,,,,,slow moving,
Vehicle,1 Lane Right,2nd Lane,Sudden Acceleration,13:33:49,Low (0 - 33 %),,no people seen,returned back to 1st lane near pedestrian,,,,,
Passenger,Stop,1st Lane,,13:34:13,Low (0 - 33 %),,fake passengers,,,,,,
Vehicle,Go,1st Lane,,13:34:16,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:34:57,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,13:35:06,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:35:13,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:36:03,Low (0 - 33 %),,,road after intersction is bigger,,,,,
Vehicle,1 Lane Left,3rd Lane,,13:36:14,Low (0 - 33 %),25km/h,,eventually turning left,,,,,
Vehicle,Stop,3rd Lane,,13:36:59,Low (0 - 33 %),,,,7,-2,+1,traffic,
Vehicle,Go,3rd Lane,,13:37:50,Low (0 - 33 %),,,,,,,,
Vehicle,2 Lane Right,1st Lane,,13:37:57,Low (0 - 33 %),26km/h,,,,,,road after intersection is smaller,
Vehicle,Stop,1st Lane,Sudden Break,13:38:11,Low (0 - 33 %),,,,,,,"small road at right, inserting into traffic",
Vehicle,Go,1st Lane,,13:38:13,Low (0 - 33 %),21km/h,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:38:59,Low (0 - 33 %),,,"taking both lanes, jeep parked at right",,,,,
Vehicle,1 Lane Right,1st Lane,,13:39:11,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:39:12,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,13:39:14,Low (0 - 33 %),,,,5,-2,,,
Vehicle,1 Lane Left,2nd Lane,,13:39:24,Low (0 - 33 %),,,jeep parked at right,,,,,
Vehicle,1 Lane Right,1st Lane,,13:39:33,Low (0 - 33 %),,,see passenger at right,,,,,
Vehicle,Stop,1st Lane,,13:39:34,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:39:35,Low (0 - 33 %),,,,6,+1,,,
Vehicle,Go,1st Lane,,13:39:38,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:39:42,Low (0 - 33 %),,,,,,,,
Vehicle,Load,1st Lane,,13:39:44,Low (0 - 33 %),,,,7,+1,,,
Vehicle,Go,1st Lane,,13:39:52,Low (0 - 33 %),,,,,,,,
