Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,+,-,Remarks,
Vehicle,Go,1st Lane,,14:40:36,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:41:11,Moderate (34 - 80 %),,,,,,,traffic,
Passenger,Load,1st Lane,,14:41:13,Moderate (34 - 80 %),,,,15,+1,,,
Vehicle,Go,1st Lane,,14:41:22,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:41:46,Moderate (34 - 80 %),,,,,,,traffic,
Passenger,Load,1st Lane,,14:41:52,Moderate (34 - 80 %),,,,16,+1,,,
Passenger,Go,1st Lane,,14:42:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:42:23,Moderate (34 - 80 %),,,,,,,intersection,
Vehicle,Stop,1st Lane,,14:42:28,Moderate (34 - 80 %),,,,,,,,
Vehicle,Go,1st Lane,,14:42:30,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:42:50,Moderate (34 - 80 %),,,moving motor,,,,,
Vehicle,2 Lane Right,1st Lane,,14:43:44,Moderate (34 - 80 %),,,"possible station area, moved into wider lane",,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:43:58,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,1st Lane,,14:44:46,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:45:09,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:45:10,Moderate (34 - 80 %),,,,17,+1,,,
Vehicle,Go,1st Lane,,14:45:12,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:45:58,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:46:02,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:46:05,Moderate (34 - 80 %),,,,16,,-1,,
Vehicle,Go,1st Lane,,14:46:16,Moderate (34 - 80 %),,,,18,+2,,,
Vehicle,Stop,1st Lane,Sudden Break,14:46:37,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:46:39,Moderate (34 - 80 %),,,,17,,-1,,
Vehicle,Go,1st Lane,,14:46:42,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:47:13,Moderate (34 - 80 %),,,parked car,,,,,
Vehicle,1 Lane Right,1st Lane,,14:47:20,Moderate (34 - 80 %),,,back to right lane,,,,,
Passenger,Stop,1st Lane,,14:47:40,Moderate (34 - 80 %),,fake passenger,,,,,,
Vehicle,Go,1st Lane,,14:47:42,Moderate (34 - 80 %),,,,,,,,
Stoplight,Stop,1st Lane,,14:50:49,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:50:50,Moderate (34 - 80 %),,,,18,+1,,,
Passenger,Unload,1st Lane,,14:50:52,Moderate (34 - 80 %),,,,17,,-1,,
Vehicle,Go,1st Lane,,14:52:23,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:53:12,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:53:13,Moderate (34 - 80 %),,,,18,+1,,,
Vehicle,Go,1st Lane,,14:53:16,Moderate (34 - 80 %),,slow down passengers marketplace,,,,,,
Vehicle,Stop,1st Lane,,14:53:39,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:53:40,Moderate (34 - 80 %),,,,13,,-5,,
Vehicle,Go,1st Lane,,14:53:52,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:54:02,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:54:04,Moderate (34 - 80 %),,,,14,+1,,,
Vehicle,Go,1st Lane,,14:54:10,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:55:30,Moderate (34 - 80 %),,,,,,,traffic,
Vehicle,Go,1st Lane,,14:56:44,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:57:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:59:31,Moderate (34 - 80 %),,,turning right,,,,,
Vehicle,Stop,1st Lane,,15:00:46,Moderate (34 - 80 %),,,,,,,,
Vehicle,Unload,1st Lane,,15:00:47,Moderate (34 - 80 %),,,,13,,-1,,
Vehicle,Go,1st Lane,,15:02:07,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,15:08:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,Unload,1st Lane,,15:08:15,Low (0 - 33 %),,,,0,,-13,,
