Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Passenger Load,Remarks
Vehicle,Stop,1st Lane,,14:13:20,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:13:21,Moderate (34 - 80 %),,,,12,
Vehicle,Go,1st Lane,,14:13:25,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:13:45,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:13:50,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:13:56,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:14:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:14:32,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:14:50,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:14:55,Moderate (34 - 80 %),,,,,pedestrian crossing
Vehicle,Go,1st Lane,,14:14:58,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,14:15:07,Moderate (34 - 80 %),,,"staying in lane, wider road",,
Vehicle,Stop,1st Lane,,14:15:15,Moderate (34 - 80 %),,,,,traffic
Vehicle,1 Lane Left,2nd Lane,,14:15:25,Moderate (34 - 80 %),26km/h,,overtake stopped jeep,,
Vehicle,1 Lane Right,1st Lane,,14:15:57,Moderate (34 - 80 %),,,passenger at right,,
Vehicle,Stop,1st Lane,,14:16:07,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:16:08,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:16:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:16:31,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:16:32,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,14:16:41,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:16:47,Moderate (34 - 80 %),,,,,inserting traffic
Vehicle,Go,1st Lane,,14:16:50,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:17:25,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:17:26,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:17:29,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:17:49,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:17:50,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,14:17:54,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:18:14,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:18:16,Moderate (34 - 80 %),,,,12,
Vehicle,Go,1st Lane,Sudden Acceleration,14:18:21,Moderate (34 - 80 %),,obstructing traffic after unloading,,,
Vehicle,Stop,1st Lane,,14:18:40,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:18:41,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:18:47,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,14:18:53,Moderate (34 - 80 %),,speed to overtake,overtake bicycle,,
Vehicle,1 Lane Right,1st Lane,,14:18:56,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:19:15,Moderate (34 - 80 %),,,,,
Vehicle,Load,1st Lane,,14:19:16,Moderate (34 - 80 %),,,,15,hospital
Vehicle,Go,1st Lane,,14:19:21,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,Sudden Acceleration,14:19:37,Moderate (34 - 80 %),,speed to overtake,overtake parked truck,,
Vehicle,1 Lane Right,1st Lane,,14:19:40,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:19:56,Moderate (34 - 80 %),,,,,
Passenger,Wait,1st Lane,,14:19:57,Moderate (34 - 80 %),,"passengers at side, looking for anyone loading",,,
Vehicle,Go,1st Lane,,14:20:04,Moderate (34 - 80 %),22km/h,,,,
Vehicle,Stop,1st Lane,,14:21:03,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:21:22,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:21:45,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:21:47,Moderate (34 - 80 %),,,,16,
Vehicle,Go,1st Lane,,14:22:00,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:22:24,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:23:19,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:23:54,Moderate (34 - 80 %),,,,,
Vehicle,Load,1st Lane,,14:23:56,Moderate (34 - 80 %),,,,17,traffic also
Vehicle,Go,1st Lane,,14:25:21,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:25:45,Moderate (34 - 80 %),,,,,
Vehicle,Unload,1st Lane,,14:25:48,Moderate (34 - 80 %),,,,15,
Vehicle,Go,1st Lane,,14:26:00,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:26:14,Moderate (34 - 80 %),,,,,
Vehicle,Load,1st Lane,,14:26:16,Moderate (34 - 80 %),,,,16,
Vehicle,Go,1st Lane,,14:26:20,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:26:25,Moderate (34 - 80 %),,,parked vehicle,,
Vehicle,1 Lane Right,1st Lane,,14:26:36,Moderate (34 - 80 %),,,move towards mall,,
Vehicle,Stop,1st Lane,,14:26:42,Moderate (34 - 80 %),,,,,
Vehicle,Load,1st Lane,,14:26:44,Moderate (34 - 80 %),,,,17,
Vehicle,Unload,1st Lane,,14:26:46,Moderate (34 - 80 %),,,,14,
Vehicle,Go,1st Lane,,14:26:58,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:27:06,Moderate (34 - 80 %),,,,,
Vehicle,Load,1st Lane,,14:27:08,Moderate (34 - 80 %),,,,15,
Vehicle,Go,1st Lane,,14:27:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:27:23,Moderate (34 - 80 %),,,,,
Passenger,Wait,1st Lane,,14:27:24,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:27:29,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:27:33,Moderate (34 - 80 %),,,,,
Vehicle,Stop,2nd Lane,,14:27:45,Moderate (34 - 80 %),,,,,
Passenger,Load,2nd Lane,,14:27:48,Moderate (34 - 80 %),,,,17,
Vehicle,Go,2nd Lane,,14:27:55,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Right,1st Lane,,14:28:03,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:28:20,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:29:09,Moderate (34 - 80 %),,,,,traffic
Vehicle,Stop,1st Lane,,14:29:15,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:29:37,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:29:47,Moderate (34 - 80 %),,crossing bikes,,,
Vehicle,Go,1st Lane,,14:29:54,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:30:04,Moderate (34 - 80 %),,,,,traffic
Vehicle,Go,1st Lane,,14:32:03,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:32:05,Moderate (34 - 80 %),,,parked vehicles at side,,
Vehicle,1 Lane Right,1st Lane,,14:32:40,Moderate (34 - 80 %),,,not turning left; left lane must turn left,,
Vehicle,Stop,1st Lane,,14:32:48,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:34:52,Moderate (34 - 80 %),,pedestrian crossing,,,
Vehicle,Stop,1st Lane,,14:35:03,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:35:05,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:35:13,Moderate (34 - 80 %),,,overtake jeep,,
Vehicle,1 Lane Right,1st Lane,,14:35:16,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:35:31,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:35:35,Moderate (34 - 80 %),,,,18,
Vehicle,Go,1st Lane,,14:35:39,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:35:52,Moderate (34 - 80 %),,,overtake loading jeep,,puregold
Vehicle,1 Lane Right,1st Lane,,14:35:56,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:36:04,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:36:05,Moderate (34 - 80 %),,,,19,
Vehicle,Go,1st Lane,,14:36:10,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:36:37,Moderate (34 - 80 %),,,,,
Vehicle,Go,1st Lane,,14:37:42,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:38:15,Moderate (34 - 80 %),,,,,
Passenger,Load,1st Lane,,14:38:16,Moderate (34 - 80 %),,,,21,
Vehicle,Go,1st Lane,,14:38:21,Moderate (34 - 80 %),,,,,
Vehicle,1 Lane Left,2nd Lane,,14:38:25,Moderate (34 - 80 %),,counterflow,overtake slow tricycle,,
Vehicle,1 Lane Right,1st Lane,,14:38:28,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:38:46,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:38:48,Moderate (34 - 80 %),,,,20,
Vehicle,Go,1st Lane,,14:38:50,Moderate (34 - 80 %),14km/h,,,,
Vehicle,Stop,1st Lane,,14:41:18,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:41:20,Moderate (34 - 80 %),,,,17,
Vehicle,Go,1st Lane,,14:41:29,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:42:42,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:42:43,Moderate (34 - 80 %),,,,13,
Vehicle,Go,1st Lane,,14:42:54,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:43:14,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:43:16,Moderate (34 - 80 %),,,,10,
Vehicle,Go,1st Lane,,14:43:26,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:43:38,Moderate (34 - 80 %),,bought food,,,
Vehicle,Go,1st Lane,,14:43:55,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:44:17,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:44:18,Moderate (34 - 80 %),,,,9,
Vehicle,Go,1st Lane,,14:44:25,Moderate (34 - 80 %),,,,,
Vehicle,Stop,1st Lane,,14:44:44,Moderate (34 - 80 %),,,,,
Passenger,Unload,1st Lane,,14:44:45,Moderate (34 - 80 %),,,,0,
